,appellation,bdod_0-100cm,bdod_100-200cm,cec_0-100cm,cec_100-200cm,cfvo_0-100cm,cfvo_100-200cm,clay_0-100cm,clay_100-200cm,nitrogen_0-100cm,nitrogen_100-200cm,ocd_0-100cm,ocd_100-200cm,ocs_0-30cm,phh2o_0-100cm,phh2o_100-200cm,sand_0-100cm,sand_100-200cm,silt_0-100cm,silt_100-200cm,soc_0-100cm,soc_100-200cm
0,Alexander Valley,156.5,160,223.95,235,75.25,80,222.75,236,68.45,32,121.1,37,40,5.902059991327963,6.300000000000001,328.25,313,368.4,313,74.65,21
1,Amador County,158.4,170,158.05,187,51.5,40,181.8,159,60.6,25,99.25,28,40,5.6020599913279625,6.1000000000000005,431.35,477,358.8,336,74.9,19
2,Anderson Valley,156.35,160,185.89999999999998,194,33.9,30,263.4,238,65.5,27,112.6,32,36,5.802059991327963,6.2,395.45000000000005,393,307.65,332,65.0,14
3,Atlas Peak,159.65,160,204.15,225,42.6,42,239.1,227,70.8,36,109.25,38,34,6.402059991327963,7.0,276.7,331,406.8,370,68.6,16
4,Bennett Valley,149.8,158,201.0,240,74.0,70,200.95,189,75.3,38,112.9,34,34,5.702059991327963,6.1000000000000005,282.35,291,372.7,334,67.1,16
5,Calistoga,143.95,144,246.8,234,59.5,90,198.65,198,81.9,36,120.95,37,37,5.6020599913279625,6.0,418.20000000000005,450,301.34999999999997,270,76.05,24
6,Carneros,160.4,161,215.4,233,30.15,25,216.10000000000002,219,60.15,36,117.25,38,36,5.802059991327963,6.4,317.75,340,408.6,401,57.900000000000006,13
7,Chalk Hill,156.5,160,227.95,218,68.0,70,241.7,272,69.30000000000001,29,115.9,37,41,5.402059991327963,5.800000000000001,369.45000000000005,345,347.15000000000003,293,78.15,23
8,Chehalem Mountains,138.4,151,181.05,174,49.15,30,256.4,296,135.3,52,142.14999999999998,37,68,5.502059991327963,5.7,154.5,185,588.05,520,141.25,37
9,Columbia Valley,144.7,146,130.7,113,0.0,0,49.8,32,54.6,35,72.55000000000001,27,23,7.802059991327964,8.200000000000001,379.7,359,497.0,522,48.1,15
10,Coombsville,162.05,162,199.55,228,61.5,70,242.8,227,65.05,35,117.35000000000001,37,36,6.1020599913279625,6.5,279.9,318,394.8,369,69.14999999999999,13
11,Diamond Mountain District,142.2,150,222.20000000000002,224,65.0,115,231.25,244,71.05000000000001,36,102.75,28,49,5.402059991327963,5.800000000000001,332.3,329,358.6,310,80.95,18
12,Dry Creek Valley,156.2,160,284.3,301,64.5,60,260.25,351,70.75,26,116.5,37,48,5.6020599913279625,6.1000000000000005,297.20000000000005,244,410.35,322,82.1,24
13,Dundee Hills,151.45,151,187.60000000000002,194,10.0,10,200.05,171,102.10000000000001,53,134.8,28,63,5.302059991327963,5.800000000000001,109.8,143,624.7,614,86.95,18
14,Eola-Amity Hills,147.65,149,193.2,196,0.0,0,373.85,440,119.25,68,157.7,31,88,5.302059991327963,5.7,142.55,151,466.95,385,117.94999999999999,22
15,Green Valley,148.85000000000002,160,200.10000000000002,228,25.0,20,210.05,198,77.14999999999999,37,119.85000000000001,31,56,5.402059991327963,5.800000000000001,419.25,445,312.2,259,84.4,19
16,Horse Heaven Hills,140.25,141,123.9,100,18.0,20,76.1,51,49.599999999999994,25,71.15,27,18,7.802059991327964,8.5,325.5,356,570.6500000000001,567,39.4,14
17,Howell Mountain,130.4,138,194.85000000000002,198,56.0,70,241.55,226,63.85000000000001,32,110.7,27,54,5.002059991327963,5.4,332.0,351,405.54999999999995,396,80.45,21
18,Knights Valley,154.9,160,230.4,280,31.0,30,219.75,222,68.60000000000001,34,116.0,37,39,5.902059991327963,6.4,376.6,392,344.2,297,70.55,19
19,Los Carneros,158.5,160,218.39999999999998,224,80.25,60,196.14999999999998,190,60.85,35,118.14999999999999,37,34,5.6020599913279625,6.2,353.04999999999995,365,362.85,391,63.50000000000001,13
20,Mendocino County,143.5,147,197.9,193,161.0,170,269.95000000000005,290,88.30000000000001,38,129.45,30,56,5.402059991327963,5.800000000000001,353.65,332,307.6,292,119.1,37
21,Mendocino Ridge,140.45,149,176.35,180,70.9,70,296.4,300,79.6,36,117.25,28,51,5.402059991327963,5.800000000000001,331.20000000000005,363,328.95,283,121.35000000000001,29
22,Monterey,152.8,156,184.70000000000002,140,0.5,0,178.85000000000002,162,60.55,26,102.55000000000001,32,28,7.6020599913279625,8.200000000000001,384.95,458,344.6,293,52.35000000000001,15
23,Mount Harlan,156.3,160,234.20000000000002,234,117.0,120,190.7,198,73.05,36,105.85000000000001,28,43,6.302059991327963,6.9,491.15,471,212.45000000000002,210,64.35000000000001,16
24,Mount Veeder,126.80000000000001,136,190.15,184,244.15,280,277.15,289,95.39999999999999,44,131.8,27,61,5.402059991327963,5.800000000000001,330.85,324,369.45,359,121.19999999999999,30
25,Napa County,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27
26,Napa Valley,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27
27,Oak Knoll District,160.35,160,253.14999999999998,249,12.5,10,247.8,236,69.7,36,116.30000000000001,37,34,5.902059991327963,6.4,240.55,251,421.6,389,69.15,16
28,Oakville,160.25,160,244.15,236,2.4,0,253.35000000000002,258,70.0,36,122.1,37,38,6.002059991327963,6.6000000000000005,224.5,237,413.75,358,70.55,17
29,Paso Robles,168.89999999999998,170,223.29999999999998,234,11.0,10,152.7,147,50.75,21,93.50000000000001,29,33,7.002059991327963,7.5,399.7,422,330.1,267,44.900000000000006,9
30,Red Mountain,141.5,145,121.3,104,10.0,10,45.95,29,48.85,23,75.6,28,22,7.802059991327964,8.3,361.8,356,557.25,582,43.349999999999994,13
31,Ribbon Ridge,150.9,155,152.10000000000002,196,0.0,0,326.1,373,89.7,50,120.75000000000001,48,53,5.1020599913279625,5.300000000000001,245.95000000000002,242,380.9,276,91.85000000000001,26
32,Russian River Valley,157.2,160,219.55,294,0.0,0,166.8,157,69.25,31,115.15,32,36,5.6020599913279625,6.4,425.55,506,369.85,276,59.849999999999994,7
33,Rutherford,157.60000000000002,160,242.65,228,11.0,10,271.20000000000005,289,69.55000000000001,36,117.85,36,38,6.1020599913279625,6.800000000000001,196.15,230,359.55,335,69.7,16
34,Santa Cruz Mountains,139.75,149,153.4,145,183.5,245,197.5,193,145.70000000000002,60,124.95,25,60,5.502059991327963,5.9,442.1,468,324.85,283,128.55,38
35,Santa Lucia Highlands,151.4,160,219.55,222,79.5,78,272.29999999999995,278,83.1,40,98.45,28,41,6.402059991327963,6.800000000000001,380.85,360,213.39999999999998,223,76.10000000000001,14
36,Santa Ynez Valley,161.5,164,238.0,224,24.5,20,186.5,139,81.25000000000001,40,112.75,37,41,6.902059991327963,7.5,391.95000000000005,460,329.0,243,57.550000000000004,16
37,Sierra Foothills,164.35,170,202.7,205,49.5,40,267.55,296,53.7,15,102.80000000000001,30,45,5.6020599913279625,6.1000000000000005,326.9,332,358.29999999999995,316,70.6,14
38,Snipes Mountain,157.64999999999998,160,111.6,112,10.0,10,35.5,23,44.8,26,66.2,30,24,7.702059991327962,8.1,557.45,556,296.59999999999997,295,36.1,10
39,Sonoma Coast,145.7,156,180.8,198,39.5,55,200.64999999999998,205,77.5,36,121.64999999999999,24,52,5.402059991327963,5.800000000000001,441.75,477,319.2,251,98.6,18
40,Sonoma County,145.0,150,184.4,190,105.5,110,262.8,298,84.7,36,121.6,29,55,5.202059991327963,5.7,352.4,337,371.65,346,110.95,27
41,Sonoma Mountain,137.55,146,194.0,190,82.25,105,286.2,315,69.30000000000001,36,130.6,27,57,5.302059991327963,5.800000000000001,338.45000000000005,315,336.75,317,95.5,21
42,Sonoma Valley,145.8,150,217.85000000000002,243,73.0,80,200.35000000000002,200,71.69999999999999,40,112.3,30,42,5.6020599913279625,6.0,324.7,305,380.1,316,79.60000000000001,17
43,Spring Mountain District,135.35,144,196.3,190,157.65,170,314.5,337,66.0,35,120.10000000000002,27,64,5.502059991327963,5.800000000000001,302.75,291,378.95,360,101.85000000000001,26
44,St Helena,154.2,158,246.85,234,28.5,30,207.75,195,71.45,40,119.94999999999999,37,34,6.6020599913279625,7.5,279.9,316,314.1,292,74.25,18
45,Sta Rita Hills,154.8,160,259.95,234,10.0,0,267.0,215,71.25,32,101.25,34,37,7.002059991327963,7.5,321.9,373,338.54999999999995,300,48.199999999999996,10
46,Stags Leap District,149.5,150,234.05,232,39.5,65,264.04999999999995,236,72.7,38,113.25,37,40,5.802059991327963,6.4,256.95,273,407.15,369,71.94999999999999,21
47,Walla Walla Valley,142.95,153,174.9,156,49.349999999999994,115,154.8,144,91.0,44,82.1,37,22,7.902059991327963,8.3,491.05,479,293.34999999999997,283,84.85,42
48,Willamette Valley,148.55,148,196.64999999999998,206,0.0,0,251.20000000000002,192,107.55,40,146.79999999999998,24,70,5.902059991327963,6.6000000000000005,113.6,148,608.4000000000001,589,86.55,10
49,Yakima Valley,155.7,157,112.70000000000002,112,10.0,10,35.15,21,43.6,25,65.2,30,26,7.802059991327964,8.200000000000001,551.2,514,296.95,319,35.65,11
50,Yountville,161.89999999999998,164,225.55,230,0.8,0,288.9,282,66.5,34,117.80000000000001,38,37,6.202059991327963,6.6000000000000005,233.35,260,321.05,306,62.5,14
